# Data from Morone et al., 2006.
# Units are nm

max_panels tri 100
panel tri 1.639344262	413.9344262	65.57377049	449.1803279
panel tri 1.639344262	413.9344262	21.31147541	368.852459
panel tri 65.57377049	449.1803279	55.73770492	391.8032787
panel tri 21.31147541	368.852459	55.73770492	391.8032787
panel tri 0	359.8360656	21.31147541	368.852459
panel tri 21.31147541	368.852459	39.3442623	301.6393443
panel tri 39.3442623	301.6393443	-4.918032787	254.0983607
panel tri -4.918032787	254.0983607	63.1147541	237.704918
panel tri 21.31147541	224.5901639	-6.557377049	159.0163934
panel tri -4.918032787	254.0983607	56.55737705	196.7213115
panel tri -6.557377049	159.0163934	20.49180328	135.2459016
panel tri -5.737704918	113.9344262	52.45901639	159.8360656
panel tri -5.737704918	113.9344262	148.3606557	0
panel tri -0.819672131	29.50819672	46.72131148	-0.819672131
panel tri 46.72131148	-0.819672131	68.03278689	36.8852459
panel tri 148.3606557	0	130.3278689	95.08196721
panel tri 130.3278689	95.08196721	95.90163934	142.6229508
panel tri 95.90163934	142.6229508	52.45901639	159.8360656
panel tri 52.45901639	159.8360656	56.55737705	196.7213115
panel tri 56.55737705	196.7213115	145.0819672	246.7213115
panel tri 145.0819672	246.7213115	336.8852459	245.9016393
panel tri 95.90163934	142.6229508	113.1147541	154.9180328
panel tri 56.55737705	196.7213115	113.1147541	154.9180328
panel tri 63.1147541	237.704918	210.6557377	341.8032787
panel tri 168.0327869	317.2131148	131.147541	358.1967213
panel tri 39.3442623	301.6393443	168.0327869	317.2131148
panel tri 68.03278689	314.7540984	71.31147541	343.442623
panel tri 55.73770492	391.8032787	111.4754098	349.1803279
panel tri 111.4754098	349.1803279	114.7540984	315.5737705
panel tri 86.8852459	259.0163934	75.40983607	295.0819672
panel tri 119.6721311	391.8032787	195.9016393	430.3278689
panel tri 195.9016393	430.3278689	231.9672131	431.147541
panel tri 231.9672131	431.147541	253.2786885	394.2622951
panel tri 253.2786885	394.2622951	210.6557377	341.8032787
panel tri 111.4754098	349.1803279	210.6557377	341.8032787
panel tri 210.6557377	341.8032787	283.6065574	250.8196721
panel tri 143.442623	273.7704918	281.147541	352.4590164
panel tri 181.147541	286.8852459	220.4918033	209.8360656
panel tri 220.4918033	209.8360656	276.2295082	109.8360656
panel tri 157.3770492	204.0983607	200.8196721	155.7377049
panel tri 200.8196721	155.7377049	304.0983607	161.4754098
panel tri 113.1147541	154.9180328	172.1311475	134.4262295
panel tri 172.1311475	134.4262295	351.6393443	-1.639344262
panel tri 130.3278689	95.08196721	185.2459016	71.31147541
panel tri 185.2459016	71.31147541	332.7868852	82.78688525
panel tri 197.5409836	50	207.3770492	74.59016393
panel tri 185.2459016	71.31147541	199.1803279	36.8852459
panel tri 199.1803279	36.8852459	273.7704918	-1.639344262
panel tri 242.6229508	9.016393443	290.9836066	35.24590164
panel tri 273.7704918	-1.639344262	442.6229508	16.39344262
panel tri 172.1311475	134.4262295	229.5081967	129.5081967
panel tri 200.8196721	155.7377049	185.2459016	71.31147541
panel tri 229.5081967	129.5081967	252.4590164	161.4754098
panel tri 68.03278689	36.8852459	148.3606557	0
panel tri 139.3442623	34.42622951	211.4754098	-1.639344262
panel tri 229.5081967	129.5081967	384.4262295	13.1147541
panel tri 384.4262295	13.1147541	344.2622951	220.4918033
panel tri 382.7868852	59.83606557	438.5245902	92.62295082
panel tri 382.7868852	59.83606557	419.6721311	152.4590164
panel tri 419.6721311	152.4590164	436.8852459	170.4918033
panel tri 419.6721311	152.4590164	389.3442623	275.4098361
panel tri 324.5901639	138.5245902	283.6065574	250.8196721
panel tri 324.5901639	138.5245902	354.0983607	264.7540984
panel tri 283.6065574	250.8196721	236.704918	181.9672131
panel tri 283.6065574	250.8196721	313.9344262	277.8688525
panel tri 313.9344262	277.8688525	327.0491803	311.4754098
panel tri 327.0491803	311.4754098	305.7377049	345.9016393
panel tri 281.147541	352.4590164	435.2459016	333.6065574
panel tri 281.147541	352.4590164	253.2786885	350
panel tri 253.2786885	394.2622951	286.0655738	405.7377049
panel tri 264.7540984	436.8852459	388.5245902	331.147541
panel tri 286.8852459	435.2459016	388.5245902	331.147541
panel tri 354.0983607	264.7540984	388.5245902	331.147541
panel tri 327.0491803	311.4754098	373.7704918	297.5409836
panel tri 389.3442623	275.4098361	435.2459016	333.6065574
panel tri 283.6065574	250.8196721	440.1639344	282.7868852
panel tri 313.9344262	277.8688525	354.0983607	264.7540984
panel tri 363.1147541	109.8360656	436.8852459	238.5245902
panel tri 368.852459	350.8196721	436.8852459	401.6393443
panel tri 311.4754098	440.1639344	437.704918	361.4754098
panel tri 436.8852459	401.6393443	407.3770492	437.704918
panel tri 350.8196721	416.3934426	407.3770492	437.704918
panel tri 113.9344262	227.0491803	143.442623	273.7704918
panel tri 181.147541	286.8852459	168.0327869	317.2131148

end_file
